timestamp,ticker,feat_price,feat_dev,feat_rsi,feat_vol,feat_volatility,feat_trend,feat_dayofweek,feat_macd,feat_bb_pos,feat_gap,feat_nikkei_trend,feat_fear_index,feat_market_phase,label
2023-05-26,1332.T,586.9,3.75,66.04,0.45,20.1,1.05,4,0.16,51.54,0.31,8.02,11.48,2,1
2023-06-09,1332.T,601.5,3.12,51.06,1.17,19.01,1.05,4,-1.05,61.96,1.0,9.79,16.88,2,1
2023-06-23,1332.T,616.0,3.11,71.15,1.0,13.5,1.04,4,0.33,91.65,0.3,6.03,19.08,2,0
2023-07-07,1332.T,599.0,-0.97,44.95,0.94,14.86,1.03,4,-2.41,-37.19,-0.39,0.38,17.44,1,1
2023-07-24,1332.T,631.7,2.61,63.76,0.77,21.8,1.02,0,0.57,75.46,0.68,-0.25,16.61,1,1
2023-08-07,1332.T,712.7,13.54,80.42,3.65,47.4,1.02,0,5.6,192.05,3.32,-0.41,16.05,1,1
2023-08-22,1332.T,720.3,7.9,74.28,0.52,19.09,1.05,1,1.82,62.04,-0.14,-2.58,15.27,1,0
2023-09-05,1332.T,717.6,1.98,48.78,1.05,17.25,1.06,1,-3.55,23.88,-0.04,2.43,14.63,1,0
2023-09-20,1332.T,701.4,-1.76,41.77,0.94,14.41,1.05,2,-3.53,-92.23,0.17,3.66,14.97,2,0
2023-10-04,1332.T,648.0,-7.56,17.68,1.63,19.02,1.01,2,-6.25,-154.67,-0.78,-7.6,15.99,0,1
2023-10-19,1332.T,651.8,-4.45,32.33,0.44,25.22,0.98,3,-2.63,-69.99,-0.48,-4.82,21.7,0,1
2023-11-02,1332.T,696.8,3.84,68.71,1.39,16.14,0.97,3,5.42,83.06,0.62,4.66,22.11,2,0
2023-11-17,1332.T,666.1,0.19,46.36,0.51,44.25,0.98,4,0.32,4.63,0.33,6.86,19.99,2,1
2023-12-04,1332.T,698.3,2.94,66.21,0.55,17.1,1.0,0,3.25,53.8,-0.73,4.01,15.23,2,1
2023-12-18,1332.T,702.6,0.06,47.32,0.99,38.19,1.03,0,-0.6,0.73,-1.6,-2.46,15.19,1,1
2024-01-04,1332.T,729.5,1.37,35.69,1.08,13.9,1.04,3,-1.62,26.75,-0.26,0.17,17.93,1,1
2024-01-19,1332.T,746.0,1.99,62.94,1.71,15.02,1.03,4,-0.1,45.03,-0.13,9.78,15.54,2,1
