ticker,price,score,true_ev,win_prob,confidence,pattern_score,mechanical_rule,kelly_size,stop_loss,regime
1458.T,70830.0,105.0,11.557,17.8,5.0,100,⚠️ CAUTIOUS ENTRY,0,65317.5,BULL
1459.T,150.0,104.5,42.904,17.5,5.0,90.0,⚠️ CAUTIOUS ENTRY,0,135.7,BULL
1357.T,3729.0,104.72,64.077,16.6,5.0,94.4,⚠️ CAUTIOUS ENTRY,0,3408.6,BULL
4063.T,7034.0,104.135,19.848,17.3,5.0,82.7,⚠️ CAUTIOUS ENTRY,0,6597.2,BULL
9432.T,150.8,104.27,40.977,16.1,5.0,85.4,⚠️ CAUTIOUS ENTRY,0,147.3,BULL
8766.T,7256.0,104.49,48.597,17.8,5.0,89.8,⚠️ CAUTIOUS ENTRY,0,6804.9,BULL
9503.T,2526.0,104.525,50.705,17.3,5.0,90.5,⚠️ CAUTIOUS ENTRY,0,2393.0,BULL
1458.T,70790.0,105.0,11.485,17.8,5.0,100,⚠️ CAUTIOUS ENTRY,0,65277.5,BULL
1459.T,151.0,104.5,40.004,16.8,5.0,90.0,⚠️ CAUTIOUS ENTRY,0,136.7,BULL
1357.T,3732.0,104.72,63.085,16.4,5.0,94.4,⚠️ CAUTIOUS ENTRY,0,3411.6,BULL
4063.T,7019.0,104.135,20.82,18.1,5.0,82.7,⚠️ CAUTIOUS ENTRY,0,6582.2,BULL
9432.T,150.8,104.27,40.92,16.1,5.0,85.4,⚠️ CAUTIOUS ENTRY,0,147.3,BULL
8766.T,7251.0,104.49,48.07,17.6,5.0,89.8,⚠️ CAUTIOUS ENTRY,0,6799.9,BULL
9503.T,2529.0,104.525,49.793,17.2,5.0,90.5,⚠️ CAUTIOUS ENTRY,0,2396.0,BULL
1458.T,70670.0,105.0,11.461,17.9,5.0,100,⚠️ CAUTIOUS ENTRY,0,65152.1,BULL
1459.T,151.0,104.5,40.0,16.8,5.0,90.0,⚠️ CAUTIOUS ENTRY,0,136.7,BULL
1357.T,3736.0,104.715,59.351,15.8,5.0,94.3,⚠️ CAUTIOUS ENTRY,0,3415.1,BULL
4063.T,7012.0,104.135,20.574,18.3,5.0,82.7,⚠️ CAUTIOUS ENTRY,0,6575.2,BULL
9432.T,150.7,104.27,40.667,16.0,5.0,85.4,⚠️ CAUTIOUS ENTRY,0,147.2,BULL
8766.T,7239.0,104.49,48.77,17.8,5.0,89.8,⚠️ CAUTIOUS ENTRY,0,6787.9,BULL
9503.T,2533.5,104.525,45.409,16.1,5.0,90.5,⚠️ CAUTIOUS ENTRY,0,2400.5,BULL
1458.T,70850.0,105.0,12.358,34.5,33.4,100,⚠️ CAUTIOUS ENTRY,0,65289.3,BULL
1459.T,150.0,104.445,70.384,33.4,33.3,88.9,⚠️ CAUTIOUS ENTRY,0,135.5,BULL
1357.T,3725.0,104.685,114.586,36.1,33.4,93.7,⚠️ CAUTIOUS ENTRY,0,3402.0,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
8306.T,2875.0,103.805,14.215,36.6,34.0,76.1,⚠️ CAUTIOUS ENTRY,0,2714.2,BULL
9432.T,151.1,104.27,41.268,33.2,33.5,85.4,⚠️ CAUTIOUS ENTRY,0,147.6,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
2802.T,4767.0,103.945,54.609,31.4,33.5,78.9,⚠️ CAUTIOUS ENTRY,0,4499.1,BULL
8766.T,7238.0,104.49,44.045,34.0,33.6,89.8,⚠️ CAUTIOUS ENTRY,0,6786.9,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
8031.T,5820.0,103.675,33.5,30.8,33.8,73.5,⚠️ CAUTIOUS ENTRY,0,5391.8,BULL
9503.T,2533.5,104.525,11.491,32.6,34.2,90.5,⚠️ CAUTIOUS ENTRY,0,2400.5,BULL
1458.T,70850.0,105.0,12.358,34.5,33.4,100,⚠️ CAUTIOUS ENTRY,0,65289.3,BULL
1459.T,150.0,104.445,70.384,33.4,33.3,88.9,⚠️ CAUTIOUS ENTRY,0,135.5,BULL
1357.T,3725.0,104.685,114.586,36.1,33.4,93.7,⚠️ CAUTIOUS ENTRY,0,3402.0,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
8306.T,2875.0,103.805,14.215,36.6,34.0,76.1,⚠️ CAUTIOUS ENTRY,0,2714.2,BULL
9432.T,151.1,104.27,41.268,33.2,33.5,85.4,⚠️ CAUTIOUS ENTRY,0,147.6,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
2802.T,4767.0,103.945,54.609,31.4,33.5,78.9,⚠️ CAUTIOUS ENTRY,0,4499.1,BULL
8766.T,7238.0,104.49,44.045,34.0,33.6,89.8,⚠️ CAUTIOUS ENTRY,0,6786.9,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
8031.T,5820.0,103.675,33.5,30.8,33.8,73.5,⚠️ CAUTIOUS ENTRY,0,5391.8,BULL
9503.T,2533.5,104.525,11.491,32.6,34.2,90.5,⚠️ CAUTIOUS ENTRY,0,2400.5,BULL
1458.T,70850.0,105.0,12.358,34.5,33.4,100,⚠️ CAUTIOUS ENTRY,0,65289.3,BULL
1459.T,150.0,104.445,70.384,33.4,33.3,88.9,⚠️ CAUTIOUS ENTRY,0,135.5,BULL
1357.T,3725.0,104.685,114.586,36.1,33.4,93.7,⚠️ CAUTIOUS ENTRY,0,3402.0,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
8306.T,2875.0,103.805,14.215,36.6,34.0,76.1,⚠️ CAUTIOUS ENTRY,0,2714.2,BULL
9432.T,151.1,104.27,41.268,33.2,33.5,85.4,⚠️ CAUTIOUS ENTRY,0,147.6,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
2802.T,4767.0,103.945,54.609,31.4,33.5,78.9,⚠️ CAUTIOUS ENTRY,0,4499.1,BULL
8766.T,7238.0,104.49,44.045,34.0,33.6,89.8,⚠️ CAUTIOUS ENTRY,0,6786.9,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
8031.T,5820.0,103.675,33.5,30.8,33.8,73.5,⚠️ CAUTIOUS ENTRY,0,5391.8,BULL
9503.T,2533.5,104.525,11.491,32.6,34.2,90.5,⚠️ CAUTIOUS ENTRY,0,2400.5,BULL
1458.T,70850.0,105.0,12.358,34.5,33.4,100,⚠️ CAUTIOUS ENTRY,0,65289.3,BULL
1459.T,150.0,104.445,70.384,33.4,33.3,88.9,⚠️ CAUTIOUS ENTRY,0,135.5,BULL
1357.T,3725.0,104.685,114.586,36.1,33.4,93.7,⚠️ CAUTIOUS ENTRY,0,3402.0,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
8306.T,2875.0,103.805,14.215,36.6,34.0,76.1,⚠️ CAUTIOUS ENTRY,0,2714.2,BULL
9432.T,151.1,104.27,41.268,33.2,33.5,85.4,⚠️ CAUTIOUS ENTRY,0,147.6,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
2802.T,4767.0,103.945,54.609,31.4,33.5,78.9,⚠️ CAUTIOUS ENTRY,0,4499.1,BULL
8766.T,7238.0,104.49,44.045,34.0,33.6,89.8,⚠️ CAUTIOUS ENTRY,0,6786.9,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
8031.T,5820.0,103.675,33.5,30.8,33.8,73.5,⚠️ CAUTIOUS ENTRY,0,5391.8,BULL
9503.T,2533.5,104.525,11.491,32.6,34.2,90.5,⚠️ CAUTIOUS ENTRY,0,2400.5,BULL
1458.T,70850.0,105.0,12.358,34.5,33.4,100,⚠️ CAUTIOUS ENTRY,0,65289.3,BULL
1459.T,150.0,104.445,70.384,33.4,33.3,88.9,⚠️ CAUTIOUS ENTRY,0,135.5,BULL
1357.T,3725.0,104.685,114.586,36.1,33.4,93.7,⚠️ CAUTIOUS ENTRY,0,3402.0,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
8306.T,2875.0,103.805,14.215,36.6,34.0,76.1,⚠️ CAUTIOUS ENTRY,0,2714.2,BULL
9432.T,151.1,104.27,41.268,33.2,33.5,85.4,⚠️ CAUTIOUS ENTRY,0,147.6,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
2802.T,4767.0,103.945,54.609,31.4,33.5,78.9,⚠️ CAUTIOUS ENTRY,0,4499.1,BULL
8766.T,7238.0,104.49,44.045,34.0,33.6,89.8,⚠️ CAUTIOUS ENTRY,0,6786.9,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
8031.T,5820.0,103.675,33.5,30.8,33.8,73.5,⚠️ CAUTIOUS ENTRY,0,5391.8,BULL
9503.T,2533.5,104.525,11.491,32.6,34.2,90.5,⚠️ CAUTIOUS ENTRY,0,2400.5,BULL
8035.T,45150.0,103.075,9.278,30.8,34.9,61.5,⚠️ CAUTIOUS ENTRY,0,41257.1,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
6367.T,21865.0,103.075,22.555,33.0,33.7,61.5,⚠️ CAUTIOUS ENTRY,0,20084.6,BULL
8058.T,4913.0,103.215,90.685,35.3,33.5,64.3,⚠️ CAUTIOUS ENTRY,0,4543.4,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
7267.T,1293.5,103.125,39.169,34.3,33.5,62.5,⚠️ CAUTIOUS ENTRY,0,1236.1,BULL
