ticker,price,score,confidence,pattern_score,mechanical_rule,true_ev,signal_timestamp,regime,stars,analysis,volatility
6857.T,28040.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:45.396776,BEAR,---,Waiting for Dip,0.012
6146.T,72770.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:45.637658,BEAR,---,Waiting for Dip,0.012
8035.T,48080.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:45.850232,BEAR,---,Waiting for Dip,0.012
8058.T,4893.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:46.063439,BEAR,---,Waiting for Dip,0.012
4063.T,7169.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:46.273777,BEAR,---,Waiting for Dip,0.012
8306.T,2810.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:46.503315,BEAR,---,Waiting for Dip,0.012
9432.T,152.10000610351562,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:46.723407,BEAR,---,Waiting for Dip,0.012
8411.T,6727.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:46.951896,BEAR,---,Waiting for Dip,0.012
8802.T,4403.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:47.180233,BEAR,---,Waiting for Dip,0.012
4503.T,2193.0,0.32,30.0,40.0,⏳ WAIT,0.04,2026-05-01T12:07:47.401232,BEAR,---,Waiting for Dip,0.012
