ticker,price,score,true_ev,win_prob,confidence,pattern_score,mechanical_rule,kelly_size,stop_loss,regime
1458.T,70850.0,105.0,12.358,34.5,33.4,100.0,🎯 STRONG ENTRY,0,65289.3,BULL
1357.T,3725.0,104.685,114.586,36.1,33.4,93.7,🎯 STRONG ENTRY,0,3402.0,BULL
9503.T,2533.5,104.525,11.491,32.6,34.2,90.5,🎯 STRONG ENTRY,0,2400.5,BULL
8766.T,7238.0,104.49,44.045,34.0,33.6,89.8,🎯 STRONG ENTRY,0,6786.9,BULL
1459.T,150.0,104.445,70.384,33.4,33.3,88.9,🎯 STRONG ENTRY,0,135.5,BULL
9432.T,151.1,104.27,41.268,33.2,33.5,85.4,🎯 STRONG ENTRY,0,147.6,BULL
2802.T,4767.0,103.945,54.609,31.4,33.5,78.9,🎯 STRONG ENTRY,0,4499.1,BULL
8306.T,2875.0,103.805,14.215,36.6,34.0,76.1,🎯 STRONG ENTRY,0,2714.2,BULL
8031.T,5820.0,103.675,33.5,30.8,33.8,73.5,⚠️ CAUTIOUS ENTRY,0,5391.8,BULL
7974.T,7922.0,103.67,95.41,33.7,33.4,73.4,⚠️ CAUTIOUS ENTRY,0,7428.1,BULL
7741.T,29305.0,103.53,34.978,35.4,33.7,70.6,⚠️ CAUTIOUS ENTRY,0,27608.6,BULL
8001.T,1958.5,103.52,43.68,30.4,33.6,70.4,⚠️ CAUTIOUS ENTRY,0,1859.1,BULL
4061.T,4030.0,103.32,58.212,32.0,33.5,66.4,⚠️ CAUTIOUS ENTRY,0,3684.5,BULL
8058.T,4913.0,103.215,90.685,35.3,33.5,64.3,⚠️ CAUTIOUS ENTRY,0,4543.4,BULL
7267.T,1293.5,103.125,39.169,34.3,33.5,62.5,⚠️ CAUTIOUS ENTRY,0,1236.1,BULL
8035.T,45150.0,103.075,9.278,30.8,34.9,61.5,⚠️ CAUTIOUS ENTRY,0,41257.1,BULL
6367.T,21865.0,103.075,22.555,33.0,33.7,61.5,⚠️ CAUTIOUS ENTRY,0,20084.6,BULL
9101.T,5662.0,102.99,26.472,30.0,33.9,59.8,📡 WAIT/PROBING,0,5296.1,BULL
8802.T,4496.0,102.905,53.319,34.6,33.5,58.1,📡 WAIT/PROBING,0,4190.1,BULL
9501.T,611.1,102.86,35.302,33.1,33.5,57.2,📡 WAIT/PROBING,0,547.9,BULL
7203.T,3112.0,102.705,59.091,32.5,33.5,54.1,📡 WAIT/PROBING,0,2929.3,BULL
9502.T,2609.5,102.545,62.172,35.0,33.5,50.9,📡 WAIT/PROBING,0,2435.1,BULL
4502.T,5289.0,102.535,120.233,36.3,33.4,50.7,📡 WAIT/PROBING,0,5025.6,BULL
6758.T,3234.0,102.52,46.752,31.2,33.5,50.4,📡 WAIT/PROBING,0,3042.0,BULL
4901.T,2932.5,102.43,74.472,33.7,33.5,48.6,📡 WAIT/PROBING,0,2781.5,BULL
4151.T,2405.0,102.31,73.744,32.2,33.4,46.2,📡 WAIT/PROBING,0,2259.5,BULL
4523.T,4605.0,102.285,68.669,30.8,33.5,45.7,📡 WAIT/PROBING,0,4327.1,BULL
9989.T,3821.0,102.21,53.324,32.2,33.6,44.2,📡 WAIT/PROBING,0,3685.1,BULL
4661.T,2434.5,102.18,24.873,32.7,33.7,43.6,📡 WAIT/PROBING,0,2286.8,BULL
9983.T,73170.0,101.0,6.904,33.9,33.5,20.0,📡 WAIT/PROBING,0,67541.4,BULL
6920.T,44330.0,101.0,48.248,35.5,33.6,20.0,📡 WAIT/PROBING,0,38858.6,BULL
8267.T,1568.5,100.0,135.428,33.0,33.4,0.0,📡 WAIT/PROBING,0,1437.9,BULL
3382.T,1920.0,100.0,89.415,33.1,33.4,0.0,📡 WAIT/PROBING,0,1761.1,BULL
4063.T,7081.0,4.135000000000001,-17.417,36.7,33.9,82.7,SKIP,0,6644.2,BULL
6503.T,6078.0,3.5200000000000005,-77.61,36.1,33.3,70.4,SKIP,0,5605.1,BULL
6146.T,76440.0,2.9800000000000004,-11.321,32.9,34.5,59.6,SKIP,0,68713.2,BULL
8411.T,6936.0,2.83,-34.815,34.2,33.5,56.6,SKIP,0,6473.1,BULL
4503.T,2306.0,2.5,-45.33,31.2,32.6,50.0,SKIP,0,2151.1,BULL
6902.T,1846.5,2.375,-184.151,31.5,33.3,47.5,SKIP,0,1731.5,BULL
6301.T,6856.0,2.295,-170.691,34.5,33.3,45.9,SKIP,0,6251.0,BULL
9022.T,4069.0,2.2350000000000003,-77.063,34.7,33.4,44.7,SKIP,0,3812.0,BULL
6098.T,7464.0,2.0050000000000003,-93.309,35.6,33.3,40.1,SKIP,0,6857.9,BULL
6501.T,5047.0,1.9300000000000002,-119.054,34.7,33.3,38.6,SKIP,0,4633.6,BULL
6857.T,29750.0,1.0,-90.062,32.6,33.3,20.0,SKIP,0,26199.1,BULL
6981.T,4840.0,1.0,-18.907,34.3,33.8,20.0,SKIP,0,4352.5,BULL
9984.T,5268.0,0.0,-38.15,32.2,33.6,0.0,SKIP,0,4413.2,BULL
4568.T,2650.5,0.0,-8.529,31.9,34.2,0.0,SKIP,0,2376.0,BULL
6723.T,2913.0,0.0,-21.874,35.0,33.6,0.0,SKIP,0,2465.4,BULL
