ticker,pnl,reason,mins,pb_ratio,surge_ratio
8058.T,-0.004691334153629766,TRAILING STOP,65.0,1.9518278327582774,-0.7415079137355927
9501.T,0.0008948558821441086,TRAILING STOP,60.0,1.8835975336054533,-1.6753505287109969
1459.T,0.032653846153846255,TIME EXIT,1105.0,1.12249357723257,-1.1224935772379465
1459.T,-0.01052380952380949,STOP LOSS,15.0,2.73983277373101,-1.3764088815964928
6902.T,-0.0017656967840734552,TRAILING STOP,30.0,1.9532065142391875,1.9408924842733084
1357.T,-0.0015755947812740026,TRAILING STOP,15.0,2.495339912734577,-1.7864658938123434
1459.T,-0.06290476190476191,STOP LOSS,1100.0,2.616040737576353,-1.3142195174616318
1459.T,-0.02704166666666663,STOP LOSS,1090.0,2.8985798136329852,-1.45679918095259
1459.T,-0.016463917525773142,STOP LOSS,3945.0,1.1224643630664248,-1.122464363072177
6857.T,-0.0005959595959595934,TRAILING STOP,15.0,3.8042002900385365,-3.3882340555414117
6857.T,-0.011056315366049896,STOP LOSS,15.0,2.730805096123085,-2.333846759731999
4151.T,-0.00024684616832992747,TRAILING STOP,15.0,2.0394106907539125,-1.9014251860334286
6857.T,-0.0012025931928687497,TRAILING STOP,30.0,2.0802408113817346,-1.8858817180382081
9022.T,0.00444507575757569,TIME EXIT,180.0,2.137642985604372,-1.4590593146837003
8267.T,-0.0026583747927031434,TRAILING STOP,30.0,2.5896103857777866,-0.3025939288018781
1459.T,-0.018341040462427793,STOP LOSS,1095.0,1.7709502539786621,-1.7709502539888549
8267.T,-0.016491009681880997,STOP LOSS,1060.0,2.0299182452755518,0.21935785973965322
9501.T,-0.01139038128716685,STOP LOSS,15.0,2.871683075850253,-2.040388640250258
9501.T,-0.019859416324461088,STOP LOSS,3950.0,3.1944921238089545,-3.1193506252979573
7974.T,0.008949637636653907,TRAILING STOP,35.0,3.17959109703918,-5.518038259259431
9984.T,0.03684295175023655,TIME EXIT,1090.0,2.1978724631562017,1.592320164242738
6920.T,0.007550959094060451,TRAILING STOP,25.0,1.3226848356915286,-1.322684835691558
9984.T,-0.008882882882882859,TRAILING STOP,10.0,1.6691921300093362,-1.1165289639214813
9984.T,0.014603799185888833,TIME EXIT,1085.0,2.477387146276834,-1.1787852068702394
6146.T,0.01133167965981563,TIME EXIT,1075.0,3.3607209580920254,-3.2220471889119713
6920.T,0.0033238049483544927,TIME EXIT,1070.0,3.044784331276419,-2.1784661150153197
1459.T,0.012071895424836554,TIME EXIT,1125.0,1.5335580953695687,-1.533558095379514
6920.T,-0.01682733812949644,STOP LOSS,1080.0,3.688249249625241,-1.6111918194859924
4063.T,0.022061104582843716,TIME EXIT,180.0,4.133936876022714,-3.7827145232612924
9501.T,0.011625425618465024,TRAILING STOP,20.0,3.4055140502833043,-2.7025192054404505
9984.T,0.06872543352601157,TIME EXIT,1140.0,2.4214066157228205,-1.5054189480132312
9984.T,0.014974995658968537,TRAILING STOP,60.0,2.8890480907432434,-1.1806733824687603
4061.T,0.03394482396216503,TIME EXIT,1095.0,1.8101858638308945,-1.247753833582048
9501.T,0.0001931348090448157,TRAILING STOP,40.0,2.355625783845633,-1.7808774926176052
6723.T,-0.019662519440124426,STOP LOSS,60.0,1.1644209156797065,-1.2169731820048464
6723.T,-0.0025762925598991062,TIME EXIT,3935.0,3.640407531506475,-1.9593837385255346
8306.T,-0.0011819505094614593,TRAILING STOP,20.0,2.24731673351341,-1.9287062818969876
8306.T,-0.0019089256498818754,TRAILING STOP,15.0,2.1493962237816326,-1.3431399672940785
6098.T,0.0032096686583379394,TRAILING STOP,35.0,2.906925615583237,-0.16525968368631985
9984.T,-0.002011975037949031,TRAILING STOP,25.0,2.9623452304456848,-2.4805407351670006
6857.T,-0.0023306719893546593,TRAILING STOP,30.0,2.6152225213995677,-2.4715573368359243
9501.T,0.005272677235951596,TRAILING STOP,10.0,2.9450654545896997,0.7382412154921244
6301.T,-0.021428571428571463,STOP LOSS,5.0,4.217442430432714,-4.073971093440384
